name,id,description,url,price,priceInWord,cityName,addressLocality,longitude,latitude,numberOfRooms,bathroom,bedroom,floorSize,floorno,furnshingstatus,agentName,agentCompanyName,agentMaskedmobilenumber
"2 BHK Flat  for Sale in   Bellandur, Outer Ring Road ",domcache_srp_55711761,"2 Bath,Unfurnished Luxury takes on a new definition at Nikhar Aventino. Be it Picture-Perfect interiors, aesthetically designed structures, Innovative ideas in space management or the understated elegance of fine finishes, this is where unmatched essentials of good living create an ambience for happiness and fine living.",https://www.magicbricks.com/propertyDetails/2-BHK-1030-Sq-ft-Multistorey-Apartment-FOR-Sale-Bellandur-in-Bangalore&id=4d423535373131373631,7049175,70.5 Lac,Bangalore,"Bellandur, Outer Ring Road",,,2,2,2,1030 FTK ,,Unfurnished,Nikhar  Aventino,,+91-90XXXXXXX08
3 BHK Flat  for Sale in   Kanakapura Road ,domcache_srp_57476069,"2 Bath,Unfurnished,Ground floor Spread over 19.6 acres with over 4 acres of open green landscaped space with great amenities and lifestyle. 26 towers, G+29, 4 units / floor. Efficient common spaces with compact cores to ensure maximum space within the unit. Ample resident car parking. 70,000 sq.ft clubhouse plus a whole host of other amenities. ",https://www.magicbricks.com/propertyDetails/3-BHK-1280-Sq-ft-Multistorey-Apartment-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423537343736303639,10186845,1.01 Cr,Bangalore,Kanakapura Road,12.746104,77.487602,3,2,3,1280 FTK ,Ground,Unfurnished,Jhalak  Somani,Mantri Developers Pvt. Ltd.,+91-78XXXXXXX25
2 BHK Flat  for Sale in   Horamavu ,domcache_srp_57361747,"2 Bath,Unfurnished This spacious Flat is Unfurnished and is situated on the 1st floor off the 4 floor with good ventilation and natural light. You can own one without any hassle. The available amenities are Corporation water, Drainage facility, 24*7 power backup, Lifts, Gym, Security, Visitors parking, Feng shui / Vastu, Piped gas.",https://www.magicbricks.com/propertyDetails/2-BHK-1038-Sq-ft-Multistorey-Apartment-FOR-Sale-Horamavu-in-Bangalore&id=4d423537333631373437,4686570,46.9 Lac,Bangalore,Horamavu,13.0320449,77.661594,2,2,2,1038 FTK ,,Unfurnished,Anand,,+91-97XXXXXXX92
1 BHK Flat  for Sale in   Hennur Main Road ,domcache_srp_51561159,"1 Bath,Unfurnished,4 floor Eswar Constructions' latest housing project VANAMALI is a delight for the whole family. Maximizing comfort and quality even while Minimizing waste ensures that your family has a comfortable home, at a comfortable price for you. 168 apartments spread over 2 acres. With all standard amenities from a kid's play area and a swimming pool to a gym and a badminton court to a dedicated covered car park. And more. We aim to eliminate all the hassles that are typically present with the purchase of an apartment. In other words, our focus on comfortable living extends to the purchase process, and post sales as well. We also aim to minimize waste. This is done by optimizing utilization of space as well as maximizing resource utilization even while ensuring no tradeoffs on quality.Welcome to Vanamali. Welcome to your new Home. ",https://www.magicbricks.com/propertyDetails/1-BHK-700-Sq-ft-Multistorey-Apartment-FOR-Sale-Hennur-Main-Road-in-Bangalore&id=4d423531353631313539,3837436,38.4 Lac,Bangalore,Hennur Main Road,,,1,1,1,700 FTK ,4,Unfurnished,Vinod ,,+91-95XXXXXXX31
3 BHK Flat  for Sale in   Sarjapur-Attibele Road ,domcache_srp_54416169,"2 Bath,Unfurnished,8 floor GR Samskruthi is located on Sarjapur-Atibele Main road with 414 Premium apartments with world class amenities. Smallest wishes to bigger ones collectively reflect the inner desire to lead a lifestyle immersed in the lap of Mother Nature with a liberal sprinkling of urban comforts.",https://www.magicbricks.com/propertyDetails/3-BHK-1330-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Attibele-Road-in-Bangalore&id=4d423534343136313639,5900000,59 Lac,Bangalore,Sarjapur-Attibele Road,,,3,2,3,1330 FTK ,8,Unfurnished,Joydeep Pal,GR Constructions,+91-88XXXXXXX40
3 BHK Flat  for Sale in   whitefield ,domcache_srp_53622517,"3 Bath,Unfurnished Sumadhura Eden Garden is located in a very quiet some area of Doddabanahalli, Whitefield in East Bangalore. The area is as peaceful as it can be while being far removed from the unrequited hustle of the central parts of the city. There is minimal traffic. Whitefield and surrounding areas like ITPL and Maratahalli are popular for hosting most of the MNC's that function from Bangalore.",https://www.magicbricks.com/propertyDetails/3-BHK-1523-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423533363232353137,10957177,1.09 Cr,Bangalore,whitefield,12.9680475,77.739097,3,3,3,1523 FTK ,,Unfurnished,Satish  Kumar,Sumadhura Infracon Pvt. Ltd.,+91-84XXXXXXX66
2 BHK Flat  for Sale in   K R Puram ,domcache_srp_54321321,"2 Bath,Unfurnished Say goodbye to concrete jungles and open up to the beauty of nature instead. With well-planned and spacious homes at KR Puram Road, it's time to get a breath of fresh air from the conventional, claustrophobic life you knew.",https://www.magicbricks.com/propertyDetails/2-BHK-833-Sq-ft-Multistorey-Apartment-FOR-Sale-K-R-Puram-in-Bangalore&id=4d423534333231333231,5783517,57.8 Lac,Bangalore,K R Puram,13.0126101,77.7165925,2,2,2,833 FTK ,,Unfurnished,Concorde ,,+91-99XXXXXXX50
2 BHK Flat  for Sale in   Sarjapur-Attibele Road ,domcache_srp_57425153,"2 Bath,Unfurnished Located at Sarjapur Attibele Road in Bangalore, Celebrity Pride Avenue is inspiring in design, stirring in luxury and enveloped by verdant surroundings. Celebrity Pride Avenue is in troupe with many famous schools, hospitals, shopping destinations, tech parks and every civic amenity required, so that you spend less time on the road and more at home.",https://www.magicbricks.com/propertyDetails/2-BHK-890-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Attibele-Road-in-Bangalore&id=4d423537343235313533,3200000,32 Lac,Bangalore,Sarjapur-Attibele Road,12.810395,77.784537,2,2,2,890 FTK ,,Unfurnished,Celebrity Structures,,+91-90XXXXXXX66
3 BHK Flat  for Sale in   Bannerghatta Main Road ,domcache_srp_57065503,"2 Bath,Unfurnished,5 floor Nandi Citadel's unique granite exteriors create a striking facade and interiors with a matchless comfort. We have kept the buildings low rise and limited the built-up area to create maximum greenery and a feeling of abundant space.",https://www.magicbricks.com/propertyDetails/3-BHK-1550-Sq-ft-Multistorey-Apartment-FOR-Sale-Bannerghatta-Main-Road-in-Bangalore&id=4d423537303635353033,10850000,1.08 Cr,Bangalore,Bannerghatta Main Road,12.797649,77.613045,3,2,3,1550 FTK ,5,Unfurnished,Nandi Housing Private Limited,,+91-78XXXXXXX77
4 BHK Villa for Sale in Sarjapur,domcache_srp_26103567,"4 Bath,Unfurnished Metropolis Fair Oaks is placed in idyllic and peaceful surroundings, this magnificent creation offers modern villa that are ideal to live contemporary lifestyle. Enhanced with fine fittings and fixtures, this project fulfils the requirements and expectations of the modern day lifestyle.",https://www.magicbricks.com/propertyDetails/4-BHK-2260-Sq-ft-Villa-FOR-Sale-Sarjapur-in-Bangalore&id=4d423236313033353637,9600000,96 Lac,Bangalore,Sarjapur,12.8657713,77.7929693,4,4,4,2260 FTK ,,Unfurnished,Keerthi  Reddy,Metropolis Properties,+91-99XXXXXXX99
