date,reviewer,review,rating,is_real_review
"9/19/2017
Updated review",Barry W.,Horrible experience...Do not believe anything they say. You've been warned!,1,0
10/18/2011,Lynn H.,"If you enjoy stepping in dog pooh on a daily basis (inside the building), listening to the drunk property manager spat out racial slurs and gossip about your PERSONAL business to everyone in the building, having an owner who's husband is a TWICE convicted FELON with access to your apartment,  broken entry door for unsafe living...then this is the place for you!",1,0
9/18/2019,Augustine ..,"My first Apartment and definitely not planning on leaving soon, this place is well kept, friendly neighbors, and can't forget about the building manager, Leticia Lopez!! She is hands down amazing! She made this whole ordeal easy, and worth it, and even after a year being here she is still willing to help and go the extra mile to make sure living here is comfortable!",5,0
1/13/2017,Natasha M.,"I lived at the Ancelle for the past year and a half.  As a professor I was looking for an artistic and professional building. The apartment building manager Leticia Lopez is amazing. She always attends to fixing things promptly and goes out of her way to ensure a positive, safe and professional culture.

During my time there she was truly a highlight of my experience. Her attention to detail and redesign of the formerly drab lobby made the entrance warm and inviting every night upon coming home. Her standard of excellence is superior to many apartment managers I have interacted with from NYC to the west coast.

Sincerely,

Natasha",5,0
3/15/2019,Vesna L.,"Absolutely horrible experience. Do not listen to the ones who said it is amazing place to live. The safety system is a nightmare, and there were random people knocking on our doors at night. You can't find any security cameras anywhere. The packages are missing all the time, and I have given up on receiving any packages here. The property management team don't know what they are doing , and says they have ""new poilcy"" whenever they want. Really hard to get maintenance. The parking is a total mess. On good thing about it is that you are a party animal, and too bad if you want to sleep at night--expect parties at 2 am every weekend.",1,0
2/24/2019,Xx M.,中国国内朋友介绍说union公寓在韩国城有一个不错的公寓，很多住着的都是在USC读书的同学。当时还在国内的时候guoguo就帮了我很多的忙，还给我解决了到了美国接机的问题，到现在住在悠年韩国城公寓已经有3个月了，住的很舒适，而且住着的人也有很多来自USC的学长学姐。强烈推荐刚来美国的同学，少了很多麻烦，也能少吃很多亏！,5,0
10/23/2021,Sun Non D.,"so disgusting , guest parking cost is 2$ per hour now, what a robbery, making trouble between visitor and the resident, and 3033 wilshire management taking this fee to have fun, awful service, 2$ a hour? what a joke. no one will park and no visitor will come, you guys just block the friends of 3033 wilshire resident. stupid decision
service is geting worse, dont wanna live here anymore, disgusting!",1,0
7/5/2020,Keosily N.,"Poor management.  
I had to break the lease and move out of this hellish place as soon as I could, for the sake of my young daughter.
The list is long: We could smell neighbors smoking cigarettes and marijuana inside building (although landlord the right to prohibit  tenants from smoking in a rental property) Another neighbor was having a loud party, until 3am. Police had to come to stop them. Rude people at common spaces threatening my daughter.
All these I reported to the apartment management but they didn't take any considerable action, so  I pleaded to break the lease so my family could move to a safe place.   They showed no mercy.  
They had another tenant who moved in after me without lapse, but they still collected the penalty and took a huge chunk of my security deposit during COVID-19.  Greedy!
Lame management and unsafe places to live, especially for families.",1,0
7/21/2021,Jezreel T.,Loved that they showed up with mask and shoe coverings. Fixed the problem in under 5 minutes as well as fixed another issue in the apartment in no time. Excellent service.,5,0
2/1/2021,Paul B.,Love this building. Caroline & Olga in the office are great and made the leasing process simple and stress-free. Manny & Florentin are super nice and quickly addressed all the minor issues I had after the inspection. All the folks at the front desk have been very helpful with packages and deliveries. Very happy to be here. Would recommend this place to anyone.,5,0
8/30/2019,Anthony S.,"One more happy customer here.
This building have a great air conditioned gym space, various patios with wonderful furniture, to host outside parties , the pool (on roof with AWESOME VIEW), a jacuzzi, outside barbecues/grills, balconies on every apartment, underground parking, laundry, and probably quite a few other things I'm forgetting to mention. Great and luxurious.
The staff is friendly, helpful and clear.

I am recommend for my friends this apartments.",5,0
8/9/2019,Chris M.,"It was nice having a self guided tour of the building. We got to check out everything ourselves and see what we liked without having anyone else's opinions.

Then we had a meeting with Michael Zubia and he was very helpful. He answered all our questions and helped us with some advice since we are new to LA :)",5,0
8/6/2018,Joan K.,"We love living here.  It is very pleasant.  We had family BBQs on the rooftop with great LA views, swimming, and even used the conference  room for small gatherings.  My husband and I play screen golf on the first floor which is very convenient and we have improved our skill a lot.  Staff are friendly and they serve great coffee in the morning.",5,0
7/30/2018,Jennifer G.,Fantastic Staff for the entire time I was there. Always accommodating if there is a problem with your unit. They get the job done fast!,5,0
9/18/2017,Tahona C.,"Checking in, definitely about to do my application the place looks beautiful online!!!",5,0
9/10/2017,Hyejin S.,no thank!!!!!!!!,5,0
4/17/2017,Alisher A.,This is absolutely beautiful building with all amenities that you need. The rooftop is one of a kind that you can find in Los Angeles. Staff is very nice and are always helping you with any questions. I also want to say big thanks to Timothy who was helping me with the whole process of moving in to this building. Thank you!,5,0
12/25/2016,Paul P.,"Damm good apartment.

Clean, smells good, amenities is very good.

There is smart thermo control, cell phone openable gate.

Coffee is amazing also.
Pool is little shallow but it is ok.

Very nice view at roof top.

Price is higher than others, such as the Vermont.

However, i'm sure that it is worth it.

Managements are very nice and kind as well.",5,0
6/23/2016,Kaylee T.,"The staff at 3033 Wilshire are amazing.  Since the actual building is under construction, I had to visit the temp leasing office in the building next door.  It is unfortunate that the building is no where near compared to the actual office.  As you step in, it is just completely a different atmosphere.  You feel like a true VIP.  The entire staff stood up and greeted me.  You don't get that anywhere in Koreatown.  Jennifer, Sean, and Christine gave me all the information needed for me to understand their perks.  Best thing that stood out to me is their rooftop pool with a 360 view of the city.  AMAZING!!!!  I'll definitely be leasing from them once I'm out of my lease.  CAN'T WAIT TO LIVE IN LUXURY.",5,0
8/5/2021,Amy T.,"As a potential new move in to the Los Angeles area, you'd think the leasing office would be very welcoming and open to answering questions. This was not the case; the lady who answered my call had a disgusting attitude and was unwilling to offer any insight nor willingness to answer any of my questions. Instead she was basically in a hurry to hang up after I voiced to her that I've been trying to contact this leasing office for over 3 weeks. And when I kept asking my questions to clarify what she meant, all she did was repeat the same thing over like a broken record. Keep in mind, I've reached out through the website message board, email, text and phone calls multiple times. This behavior makes me question if this is how they treat potential new tenants, how do they treat their existing tenants. Save your time, money and efforts; if they not willing to help you before even applying, what makes you think they'd actually help you when you live there.",1,0
5/28/2021,Sundaravadivelan B.,It was a pleasant stay at 3700 Sepulveda in past 6 years. My kids like the play area very much and it has all facility inside the Appartment. My family enjoyed very much. All staffs was very nice and friendly.,5,0
3/3/2021,Michael B.,"3700 Sepulveda is a Great Place to live they have many extras like there gym outside patios and BBQ in case you have a large amount of people Basketball and Tennis Courts. They have WIFI and nice office area in case your need it. (Good washers and dryers Great parking area underground  
The managers are the Best and very friendly and so helpful moving in and while your living there. They also have a excellent maintenance crew and they fix what may need to be fixed Right away. They have great security also and security guard is there in the evening all the way in the morning hours and they are also friendly This place is a very secured apartment I have live in many many apartments in Los Angeles and on the westside and I this has been my best I wish I found them earlier than when I did. Very close to major FWY 405 and 10 and many many great restaurants.  If you want a great place and very nice apartment on the westside of LA here the place Go move to 3700 Sepulveda (I wish I didn't have to move
Thank you
Michael B",5,0
3/2/2021,Kate Z.,"I really enjoyed the three and half years living here at 3700 Sepulveda. It is one of the most wonderful living experience I had in LA. The front office staff were always professional and helpful. The maintenance staff were always around and would complete my service requests within hours. Everyone staff member here are beyond friendly. The facilities were well maintained and have been upgraded several times while I was staying there. During the pandemic time, hand sanitizers and sanitizing wipes are provided in common areas, which making me feel very safe to use the facilities all the time.

The location of the apartment is super convenient with lots of great restaurants, groceries and pharmacy within walkable distance.  I would say it is the best value apartment you can get in West LA! I would highly recommend this place if you are looking to move to the westwide!",5,0
2/16/2021,Garrett C.,"The two and a half years I spent at 3700 Sepulveda was the best apartment experience I had while living in LA. While it is a somewhat older building, it has been updated very nicely, and the amenities are great! If I had planned on staying in LA, I probably would have stayed much longer! It was a pretty quiet community, never had any bug issues,  was maintained nicely, and despite the proximity to the 405, road noise was never an issue. If you're looking for a reasonably priced apartment with lots of amenities, 3700 is a great option!",5,0
1/11/2021,Ben A.,"Absolutely LOVED living at 3700. My wife and I lived there 3 years and we couldn't have been happier. The staff is courteous and helpful. Maintenance is the best crew I have ever experienced. The amenities are top-notch and brand new. The apartments are recently updated and have HUGE bedrooms. No bugs, no smoke issues, no mold. Could not recommend this place more if I tried.",5,0
