property_name,reviewer,date,stars,heading,review
Orbit Lumiere,Rishin,16/02/2013,0,Review Of B.T.Road,?
Fortune Heights,Guest User,06/08/2020,4,Nice Project.,"Fortune Heights is a premium project in Barasat. All amenities available here, its not a completed project, few blocks ready in this project."
Fortune Heights,Guest User,06/08/2020,4,Nice Project.,"Fortune Heights is a premium project in Barasat. All amenities available here, its not a completed project, few blocks ready in this project."
Fortune Heights,Shefali ,12/04/2016,5,Barasat.,?
Golden Heights,Tania Ghosh,30/04/2019,4,Sonarpur.,?
Green Heights II,A K ,07/06/2016,4,Rajarhat.,?
Hiland Bonochhaya,,04/05/2020,5,Bolpur Shantiniketan.,?
Ideal Aquaview,Guest User,22/08/2020,4,Ideal Aqua View.,"Ideal Aqua View is a premium housing project launched by Ideal Group Builders in New Town, Kolkata. This 2 BHK, 3 BHK, 4 BHK and 5 BHK Apartment in Kolkata North is available from 1050 sqft to 1950 sqft. Among the many luxurious amenities that the project boasts are Indoor Games, swimming pool, Car ... Read More"
Ideal Aquaview,Guest User,22/08/2020,4,Ideal Aqua View.,"Ideal Aqua View is a premium housing project launched by Ideal Group Builders in New Town, Kolkata. This 2 BHK, 3 BHK, 4 BHK and 5 BHK Apartment in Kolkata North is available from 1050 sqft to 1950 sqft. Among the many luxurious amenities that the project boasts are Indoor Games, swimming pool, Car ... Read More"
Ideal Aquaview,Tamal,21/05/2013,5,Salt lake is a peacefull area where can stay peacefully.,?
Essense,Mohit,10/02/2012,0,Review Of Howrah,?
Chitrakut Heights,Guest User,05/11/2020,4,Good project.,New construction beside DLF building 2 at Patharghata. Very near to Newtown. Good High-rise residential project in Newtown.
Chitrakut Heights,Guest User,30/10/2020,4,Good project.,"Upcoming good residential complex. It's currently under construction and, Hira approved. Premium complex with lots of modern amenities."
Chitrakut Heights,Guest User,05/11/2020,4,Good project.,New construction beside DLF building 2 at Patharghata. Very near to Newtown. Good High-rise residential project in Newtown.
Chitrakut Heights,Guest User,30/10/2020,4,Good project.,"Upcoming good residential complex. It's currently under construction and, Hira approved. Premium complex with lots of modern amenities."
Chitrakut Heights,Sudipto ,04/06/2014,5,New Town.,?
Tirath Divine,Shawvik,20/11/2012,0,Review Of Madhyam Gram,?
Su Casa Royal,Subhashis,29/04/2014,4,Narendra Pur.,?
Flora Fountain,Guest User,28/06/2021,5,Good project.,"It is good to project a swimming pool, snooker table, gym, waterbody, children playing area, etc. All you want, it's there. Everyone wants to live here. "
Flora Fountain,Guest User,05/06/2021,5,Good project.,"It is one of the largest townships in a topic. All luxurious amenities available here like ultra square pool, Sona Bath, clubhouse, all games available. Indian oil petrol pump is here. 5 minutes distance."
Flora Fountain,Guest User,28/06/2021,5,Good project.,"It is good to project a swimming pool, snooker table, gym, waterbody, children playing area, etc. All you want, it's there. Everyone wants to live here. "
Flora Fountain,Guest User,05/06/2021,5,Good project.,"It is one of the largest townships in a topic. All luxurious amenities available here like ultra square pool, Sona Bath, clubhouse, all games available. Indian oil petrol pump is here. 5 minutes distance."
Flora Fountain,Guest User,03/06/2021,4,Nice Project.,"It is high rated luxurious project and amenities like basketball court, jogging track, and swimming pool."
Flora Fountain,Guest User,29/05/2021,4,Nice project.,"This project is provided good amenities like indoor games, a swimming pool, club house, jogging track, children's play area, gym, and many more. This project is a high-rise building residency project. This project nearby all facilities and services are available."
Flora Fountain,Guest User,26/12/2020,4,Good Project,Flora Fountain  is good Project. Nice location. Well maintained project.  Nice amenities available
Flora Fountain,Guest User,19/12/2020,4,Good project.,The project offers shops and office spaces at very competitive and affordable prices. The project is well equipped with all modern amenities and a 24X7 security service to facilitate business needs.
Flora Fountain,Gaurav Gupta,10/11/2020,5,Nice project.,"It is the best to project in the city. The building is very beautiful, though the project is yet to deliver, amenities are good and the roads are fine and connectivity is good."
Flora Fountain,Guest User,05/11/2020,5,Good project.,"Flora fountain gives the facilities and, customers are very impressed with the management and services. They give after selling a nice quote ambiance gives great facilities the size of rooms and drawing halls is far spacious and, the design of the kitchen and bathrooms is well feeling full privilege... Read More"
Flora Fountain,Shanu,30/01/2012,0,Review Of Topsia,?
