name,id,description,url,price,priceInWord,cityName,addressLocality,longitude,latitude,numberOfRooms,bathroom,bedroom,floorSize,floorno,furnshingstatus,agentName,agentCompanyName,agentMaskedmobilenumber
2 BHK Flat  for Sale in   Kolapakkam ,domcache_srp_56647695,"2 Bath,Unfurnished A Part of the much-coveted TVS Emerald GreenAcres, Atrium offers you an unmatched lifestyle of comfort, convenience and Indulgence. Come home to the tastefully designed 2 & 3 BHK homes overlooking a large central elveated Atrium that will inspire endless activities for you and your loved ones.",https://www.magicbricks.com/propertyDetails/2-BHK-694-Sq-ft-Multistorey-Apartment-FOR-Sale-Kolapakkam-in-Chennai&id=4d423536363437363935,5454000,54.5 Lac,Chennai,Kolapakkam,13.007786,80.1440573,2,2,2,,,Unfurnished,TVS Emerald,TVS Emerald,+91-73XXXXXXX68
2 BHK Flat  for Sale in   Chitlapakkam ,domcache_srp_53362047,"2 Bath,Unfurnished Larger size 2 bhk. North facing corner apartment, living cum balcony and entry to private terrace from the living,  kitchen with service area. pooja provision in the living",https://www.magicbricks.com/propertyDetails/2-BHK-1248-Sq-ft-Multistorey-Apartment-FOR-Sale-Chitlapakkam-in-Chennai&id=4d423533333632303437,7675200,76.8 Lac,Chennai,Chitlapakkam,,,2,2,2,1248 FTK ,,Unfurnished,Ariff,DAC Promoters,+91-95XXXXXXX39
3 BHK Flat  for Sale in   Medavakkam ,domcache_srp_56519507,"2 Bath,Unfurnished Nest epic, the brand new upcoming project under the repertoire of Nest Builders is an apartment complex featuring units with premium amenities. Nest Epic is located in the residential area of Medavakkam, Vadakapattu Road. The project is situated just a few minutes away from the 200 ft radial road, an arena of buzz and constant movement, a major artery of the city. Living at Nest Epic will feel like home and adventure all at once, because no two days will ever be the same. Live Life king size, live at Nest Epic. ",https://www.magicbricks.com/propertyDetails/3-BHK-1280-Sq-ft-Multistorey-Apartment-FOR-Sale-Medavakkam-in-Chennai&id=4d423536353139353037,9022356,90.2 Lac,Chennai,Medavakkam,12.918147,80.190008,3,2,3,1280 FTK ,,Unfurnished,Kishore,The Nest,+91-93XXXXXXX00
2 BHK Flat  for Sale in   Pallavaram ,domcache_srp_53601211,"2 Bath,Unfurnished It's time you said yes to the 452 luxury apartments that are all set to arrive on a sprawling 5.57 acres, with over 30 amenities to feed your senses. Well-connected and surrounded by life's best, these homes are designed to please.Incredibly close to the airport, connected by buses and trains, close proximity to educational institutions, hospitals, offices, etc., this locality is perfect for families to flourish in. Come and experience The Pride of Pallavaram.",https://www.magicbricks.com/propertyDetails/2-BHK-1068-Sq-ft-Multistorey-Apartment-FOR-Sale-Pallavaram-in-Chennai&id=4d423533363031323131,6086532,60.9 Lac,Chennai,Pallavaram,12.971746,80.142952,2,2,2,1068 FTK ,,Unfurnished,Kavita,Radiance Realty Developers,+91-78XXXXXXX41
2 BHK Flat  for Sale in   Mogappair West ,domcache_srp_56911787,"2 Bath,Unfurnished Brigade is one of India's leading developers with over three decades of experience in building positive experiences for all its stakeholders.",https://www.magicbricks.com/propertyDetails/2-BHK-1062-Sq-ft-Multistorey-Apartment-FOR-Sale-Mogappair-West-in-Chennai&id=4d423536393131373837,8300000,83 Lac,Chennai,Mogappair West,13.0814067,80.1676535,2,2,2,1062 FTK ,,Unfurnished,Jayanth ,,+91-93XXXXXXX55
2 BHK Flat  for Sale in   Kolapakkam ,domcache_srp_56647667,"2 Bath,Unfurnished A Part of the much-coveted TVS Emerald GreenAcres, Atrium offers you an unmatched lifestyle of comfort, convenience and Indulgence. Come home to the tastefully designed 2 & 3 BHK homes overlooking a large central elveated Atrium that will inspire endless activities for you and your loved ones.",https://www.magicbricks.com/propertyDetails/2-BHK-567-Sq-ft-Multistorey-Apartment-FOR-Sale-Kolapakkam-in-Chennai&id=4d423536363437363637,4644000,46.4 Lac,Chennai,Kolapakkam,13.007786,80.1440573,2,2,2,,,Unfurnished,TVS Emerald,TVS Emerald,+91-73XXXXXXX68
3 BHK Flat  for Sale in   Navalur ,domcache_srp_26953163,"2 Bath,Unfurnished Residential vastu designed apartment with well equiped amenities.",https://www.magicbricks.com/propertyDetails/3-BHK-1386-Sq-ft-Multistorey-Apartment-FOR-Sale-Navalur-in-Chennai&id=4d423236393533313633,7000000,70 Lac,Chennai,Navalur,12.852055,80.229872,3,2,3,1386 FTK ,,Unfurnished,Senthamizh,Olympia Group,+91-90XXXXXXX00
"2 BHK Flat  for Sale in   Perungalathur, Chennai Bypass Road ",domcache_srp_56491883,"2 Bath,Unfurnished Santosha, derived from Sanskrit is a combination of two words 'San' means 'Complete' and Tosha is 'Satisfaction'. Bringing this wonder feeling of 'complete satisfaction' in your life is 'Isha Santhosham' a fine gated community of Lifestyle Apartments at Perungalathur by Isha Homes. A premier property developer of repute with 17 eventful years of experience. Isha Homes has redefined the skylines and reshaped quality living in environment friendly destinations.Come, check out how Isha Santhoshum ushers in complete satisfaction.",https://www.magicbricks.com/propertyDetails/2-BHK-903-Sq-ft-Multistorey-Apartment-FOR-Sale-Perungalathur-in-Chennai&id=4d423536343931383833,3860325,38.6 Lac,Chennai,"Perungalathur, Chennai Bypass Road",12.895614,80.0759505,2,2,2,903 FTK ,,Unfurnished,Kumar,Isha Homes,+91-98XXXXXXX48
2 BHK Flat  for Sale in   Vanagaram ,domcache_srp_41396413,"2 Bath,Unfurnished,1 floor ",https://www.magicbricks.com/propertyDetails/2-BHK-1061-Sq-ft-Multistorey-Apartment-FOR-Sale-Vanagaram-in-Chennai&id=4d423431333936343133,6100750,61 Lac,Chennai,Vanagaram,13.060923,80.143536,2,2,2,1061 FTK ,1,Unfurnished,Swathy ,RWD ,+91-97XXXXXXX25
2 BHK Flat  for Sale in   Siruseri ,domcache_srp_44708455,"2 Bath,Unfurnished Flamenco in XS Real Catalunya City, inspired by the Catalan school of architecture, falls in the xqsit category of homes. Part of XS Real Catalunya City's Phase 1 development, Flamenco will have 126 Apartments, in 2 & 3 BHK offerings ranging from 861 to 1428 sq. ft. In true XS Real style, Flamenco will be the quintessence of the architectural style of Catalonia and incorporate many of its distinctive features. As you unwind after a day's work, stretched out in your balcony with a cup of coffee, the dancing fountain, inspired by Flamenco's Magic Fountain of Montjuic will be a very calming sight to behold.",https://www.magicbricks.com/propertyDetails/2-BHK-861-Sq-ft-Multistorey-Apartment-FOR-Sale-Siruseri-in-Chennai&id=4d423434373038343535,2926539,29.3 Lac,Chennai,Siruseri,12.8299639520226,80.2014464948169,2,2,2,861 FTK ,,Unfurnished,Shanmuganathan,,+91-96XXXXXXX55
