name,id,description,url,price,priceInWord,cityName,addressLocality,longitude,latitude,numberOfRooms,bathroom,bedroom,floorSize,floorno,furnshingstatus,agentName,agentCompanyName,agentMaskedmobilenumber
"2 BHK Flat  for Sale Orbit Lumiere, in   BT Road ",domcache_srp_57137325,"2 Bath,Unfurnished Orbit Lumiere is all about that beautiful sense of owning the sky. Relax or unwind or just gaze, the sky embraces you with its magnificence. Plunge into the blues of the horizon in the infinity swimming pool, or just rejuvenate your aura. Make healthy living your lifestyle at the sky deck gymnasium or clink your glasses and raise a toast to memories of revelry at the Lounge. The Sky Club transports you to a limitless sphere of glory where life is a notch above!",https://www.magicbricks.com/propertyDetails/2-BHK-970-Sq-ft-Multistorey-Apartment-FOR-Sale-BT-Road-in-Kolkata&id=4d423537313337333235,5432000,54.3 Lac,Kolkata,BT Road,22.6235801,88.3788415,2,2,2,970 FTK ,,Unfurnished,Orbit Group,Orbit Group,+91-98XXXXXXX55
"3 BHK Flat  for Sale Fortune Heights, in   Barasat ",domcache_srp_57289841,"2 Bath,Unfurnished Fortune Heights. Endeavoured to transform skylines and pincodes. Erected to compliment the robust growth of Barasat, Fortune Heights is located at the best emerging address of the city.Barasat is rapidly emerging in areas like Retail, Education, IT and Hospitality, among others. It is the fastest emerging neighbourhood after Rajarhat and Garia. Over the last couple of years the biggest catalyst in pin code transformation has been infrastructure.'PLC & FRC will be chargeable extra.",https://www.magicbricks.com/propertyDetails/3-BHK-1027-Sq-ft-Multistorey-Apartment-FOR-Sale-Barasat-in-Kolkata&id=4d423537323839383431,3594500,35.9 Lac,Kolkata,Barasat,22.7402135,88.4816113,3,2,3,1027 FTK ,,Unfurnished,Fortune  Realty,Fortune Park Housing Projects P Ltd,+91-87XXXXXXX15
"2 BHK Flat  for Sale Golden Heights, in   Sonarpur ",domcache_srp_52618283,"2 Bath,Unfurnished,2 floor JG Golden Heights is only 10 min from Sonarpur Station, 20 min from Kamalgazi, and from the EM Bypass, next to the new Liver Foundation and other hospitals, schools, markets, shopping malls and multiplexes and is going to end your search for a flat near Sonarpur in South Kolkata.",https://www.magicbricks.com/propertyDetails/2-BHK-1059-Sq-ft-Multistorey-Apartment-FOR-Sale-Sonarpur-in-Kolkata&id=4d423532363138323833,3284016,32.8 Lac,Kolkata,Sonarpur,,,2,2,2,1059 FTK ,2,Unfurnished,Sushital Mitra Dey,,+91-90XXXXXXX53
"2 BHK Flat  for Sale Green Heights II, in   Rajarhat ",domcache_srp_56629883,"2 Bath,Unfurnished,10 floor Welcome to the evergreen lifestyle of Rajarhat. Green Heights II, spread over more than 1.63 acres is a well planned mega residential complex. It is an ensemble of luxurious lifestyle, which fulfills all your expectations of the dream home you have been looking for, at affordable price, which makes you smile.",https://www.magicbricks.com/propertyDetails/2-BHK-690-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajarhat-in-Kolkata&id=4d423536363239383833,5205587,52.1 Lac,Kolkata,Rajarhat,22.6224,88.440371,2,2,2,690 FTK ,10,Unfurnished,Arunopal Mondal,Loharuka Infrastructure Private Limited,+91-96XXXXXXX70
"2 BHK Villa for Sale in Hiland Bonochhaya, Bolpur-Shantiniketan",domcache_srp_57059141,"2 Bath,Unfurnished Hiland Bonochhaya in Kolkata is nestled in one of the most demanded locality Santiniketan in the city. In this residential project, you can gift your family a perfect house where they can reside a secure life. Hiland Bonochhaya is a place what you have always wished for your dream home. The project is designed and created by one of the finest real estate developers in Kolkata. Hiland Bonochhaya floor plan is one of the most sought for proper ventilation and natural light purpose. After coming back from your busy schedule you will surely love to live a quality life at Hiland Bonochhaya in Kolkata. This one is a housing project in Santiniketan and it features plenty of benefits and facilities.",https://www.magicbricks.com/propertyDetails/2-BHK-1149-Sq-ft-Villa-FOR-Sale-Bolpur-Shantiniketan-in-Kolkata&id=4d423537303539313431,3830000,38.3 Lac,Kolkata,Bolpur-Shantiniketan,23.66664,87.682115,2,2,2,1149 FTK ,,Unfurnished,Dorjee  Sherpa,Hiland Projects Limited,+91-97XXXXXXX71
"3 BHK Flat  for Sale Ideal Aquaview, in   Salt Lake City ",domcache_srp_55091515,"2 Bath,Unfurnished Ideal Aquaview offers serenity in the midst of a bustling city life. Choose from 980 well appointed air-conditioned apartment of 2, 3 & 4 BHK, spread across 7 towers that promise you a whole new world of luxury. Where rejuvenation is how you begin and end your day.",https://www.magicbricks.com/propertyDetails/3-BHK-1485-Sq-ft-Multistorey-Apartment-FOR-Sale-Salt-Lake-City-in-Kolkata&id=4d423535303931353135,11005537,1.10 Cr,Kolkata,Salt Lake City,22.580704,88.419937,3,2,3,1485 FTK ,,Unfurnished,Ideal,Ideal Group,+91-89XXXXXXX77
"3 BHK Flat  for Sale Essense, in   Howrah ",domcache_srp_51382140,"2 Bath,Unfurnished Where word ends, perception begins. Certain things in life deserve more than spoken words. Dulcet drizzles, crimson clouds over flowing river, touch of nature, whiff of happiness, taste of freedom, are only felt at heart & sensed by soul. You perceive & get carried away with the pure essence of life.It's the perfect living that brews the essence of life. And it's the Essense that brings a perfect life within your reach.",https://www.magicbricks.com/propertyDetails/3-BHK-1326-Sq-ft-Multistorey-Apartment-FOR-Sale-Howrah-in-Kolkata&id=4d423531333832313430,6974500,69.7 Lac,Kolkata,Howrah,,,3,2,3,1326 FTK ,,Unfurnished,Periwal,,+91-62XXXXXXX85
"2 BHK Flat  for Sale Chitrakut Heights, in   New Town ",domcache_srp_36456049,"2 Bath,Unfurnished,11 floor Eager to uplift your living standard in a pocket friendly way Then Chitrakut Heights is your address. Located at the heart of Rajarhat Newtown, near DLF IT PARK II, this residential complex offers you an absolute GenX lifestyle at an Unbelievable price range. Packed with ultra modern amenities like Temperature Controlled Indoor Swimming Pool, Karaoke Room, Co-Working Space, etc.",https://www.magicbricks.com/propertyDetails/2-BHK-913-Sq-ft-Multistorey-Apartment-FOR-Sale-New-Town-in-Kolkata&id=4d423336343536303439,4108500,41.1 Lac,Kolkata,New Town,22.572563,88.494157,2,2,2,913 FTK ,11,Unfurnished,Ankit,Neelkanth Nirman Pvt. Ltd.,+91-98XXXXXXX42
"2 BHK Flat  for Sale Tirath Divine, in   Madhyam Gram ",domcache_srp_55031099,"2 Bath,Unfurnished The project is located in a calm, quite and pollution free residential area of Udarajpur, Madhyamgram Chowmatha Jessore Road which is easily accessible from Rail station, Bus & Car Services, and is next to STAR MALL. This location is very close on Jessore Road, Alipore, Kolkata & has close proximity to public utilities like Healthcare Center, Market, Post Office, School, College, Commercial Plaza, Bank etc.",https://www.magicbricks.com/propertyDetails/2-BHK-880-Sq-ft-Multistorey-Apartment-FOR-Sale-Madhyam-Gram-in-Kolkata&id=4d423535303331303939,2904000,29 Lac,Kolkata,Madhyam Gram,22.6957091,88.479681,2,2,2,880 FTK ,,Unfurnished,Tirath Divine Divine,Rohra Developers Pvt. Ltd.,+91-98XXXXXXX71
"2 BHK Flat  for Sale Su Casa Royal, in   Narendrapur ",domcache_srp_49567720,"2 Bath,Unfurnished Live like a king in this habitat of comfort and happiness. Sunny between the sunrise and the sunset mystic with the star-studded horizons, Su Casa inspires a royal living. Strategically located at the confluence of Greater Kolkata buzz and the serene EM Bypass, Su Casa Royal is a perfect balance between happening urban life and a life enriched with nature's bliss. Apure haven of absolute contentment, Su Casa Royal makes living truly meaningful.",https://www.magicbricks.com/propertyDetails/2-BHK-929-Sq-ft-Multistorey-Apartment-FOR-Sale-Narendrapur-in-Kolkata&id=4d423439353637373230,3808900,38.1 Lac,Kolkata,Narendrapur,22.436286,88.3972076,2,2,2,929 FTK ,,Unfurnished,Sumit ,Rupayan Construction Pvt. Ltd.,+91-98XXXXXXX19
