date,username,photos_for_review,rating,text_review,user_location,user_friends_count,user_reviews_count,user_total_image_posted,is_real_review
"9/19/2017
Updated review",Barry W.,-1,1.0,Horrible experience...Do not believe anything they say. You've been warned!,"Central LA, Los Angeles, CA",0,3,N/A,0
10/18/2011,Lynn H.,-1,1.0,"If you enjoy stepping in dog pooh on a daily basis (inside the building), listening to the drunk property manager spat out racial slurs and gossip about your PERSONAL business to everyone in the building, having an owner who's husband is a TWICE convicted FELON with access to your apartment,  broken entry door for unsafe living...then this is the place for you!","Los Angeles, CA",0,1,N/A,0
9/18/2019,Augustine ..,-1,5.0,"My first Apartment and definitely not planning on leaving soon, this place is well kept, friendly neighbors, and can't forget about the building manager, Leticia Lopez!! She is hands down amazing! She made this whole ordeal easy, and worth it, and even after a year being here she is still willing to help and go the extra mile to make sure living here is comfortable!","Wilshire Center, Los Angeles, CA",0,2,N/A,0
1/13/2017,Natasha M.,-1,5.0,"I lived at the Ancelle for the past year and a half.  As a professor I was looking for an artistic and professional building. The apartment building manager Leticia Lopez is amazing. She always attends to fixing things promptly and goes out of her way to ensure a positive, safe and professional culture.

During my time there she was truly a highlight of my experience. Her attention to detail and redesign of the formerly drab lobby made the entrance warm and inviting every night upon coming home. Her standard of excellence is superior to many apartment managers I have interacted with from NYC to the west coast.

Sincerely,

Natasha","Central LA, Los Angeles, CA",457,1,N/A,0
3/15/2019,Vesna L.,-1,1.0,"Absolutely horrible experience. Do not listen to the ones who said it is amazing place to live. The safety system is a nightmare, and there were random people knocking on our doors at night. You can't find any security cameras anywhere. The packages are missing all the time, and I have given up on receiving any packages here. The property management team don't know what they are doing , and says they have ""new poilcy"" whenever they want. Really hard to get maintenance. The parking is a total mess. On good thing about it is that you are a party animal, and too bad if you want to sleep at night--expect parties at 2 am every weekend.","Central LA, Los Angeles, CA",0,1,N/A,0
2/24/2019,Xx M.,-1,5.0,中国国内朋友介绍说union公寓在韩国城有一个不错的公寓，很多住着的都是在USC读书的同学。当时还在国内的时候guoguo就帮了我很多的忙，还给我解决了到了美国接机的问题，到现在住在悠年韩国城公寓已经有3个月了，住的很舒适，而且住着的人也有很多来自USC的学长学姐。强烈推荐刚来美国的同学，少了很多麻烦，也能少吃很多亏！,"San Francisco, CA",0,1,N/A,0
10/23/2021,Sun Non D.,-1,1.0,"so disgusting , guest parking cost is 2$ per hour now, what a robbery, making trouble between visitor and the resident, and 3033 wilshire management taking this fee to have fun, awful service, 2$ a hour? what a joke. no one will park and no visitor will come, you guys just block the friends of 3033 wilshire resident. stupid decision
service is geting worse, dont wanna live here anymore, disgusting!","Los Angeles, CA",0,1,1,0
7/5/2020,Keosily N.,-1,1.0,"Poor management.  
I had to break the lease and move out of this hellish place as soon as I could, for the sake of my young daughter.
The list is long: We could smell neighbors smoking cigarettes and marijuana inside building (although landlord the right to prohibit  tenants from smoking in a rental property) Another neighbor was having a loud party, until 3am. Police had to come to stop them. Rude people at common spaces threatening my daughter.
All these I reported to the apartment management but they didn't take any considerable action, so  I pleaded to break the lease so my family could move to a safe place.   They showed no mercy.  
They had another tenant who moved in after me without lapse, but they still collected the penalty and took a huge chunk of my security deposit during COVID-19.  Greedy!
Lame management and unsafe places to live, especially for families.","Central LA, Los Angeles, CA",0,1,N/A,0
7/21/2021,Jezreel T.,-1,5.0,Loved that they showed up with mask and shoe coverings. Fixed the problem in under 5 minutes as well as fixed another issue in the apartment in no time. Excellent service.,"Inglewood, CA",0,2,N/A,0
2/1/2021,Paul B.,-1,5.0,Love this building. Caroline & Olga in the office are great and made the leasing process simple and stress-free. Manny & Florentin are super nice and quickly addressed all the minor issues I had after the inspection. All the folks at the front desk have been very helpful with packages and deliveries. Very happy to be here. Would recommend this place to anyone.,"Los Angeles, CA",0,1,N/A,0
8/30/2019,Anthony S.,-1,5.0,"One more happy customer here.
This building have a great air conditioned gym space, various patios with wonderful furniture, to host outside parties , the pool (on roof with AWESOME VIEW), a jacuzzi, outside barbecues/grills, balconies on every apartment, underground parking, laundry, and probably quite a few other things I'm forgetting to mention. Great and luxurious.
The staff is friendly, helpful and clear.

I am recommend for my friends this apartments.","Los Angeles, CA",8,11,N/A,0
8/9/2019,Chris M.,-1,5.0,"It was nice having a self guided tour of the building. We got to check out everything ourselves and see what we liked without having anyone else's opinions.

Then we had a meeting with Michael Zubia and he was very helpful. He answered all our questions and helped us with some advice since we are new to LA :)","San Francisco, CA",0,1,N/A,0
8/6/2018,Joan K.,-1,5.0,"We love living here.  It is very pleasant.  We had family BBQs on the rooftop with great LA views, swimming, and even used the conference  room for small gatherings.  My husband and I play screen golf on the first floor which is very convenient and we have improved our skill a lot.  Staff are friendly and they serve great coffee in the morning.","Los Angeles, CA",0,17,1,0
7/30/2018,Jennifer G.,-1,5.0,Fantastic Staff for the entire time I was there. Always accommodating if there is a problem with your unit. They get the job done fast!,"Los Angeles, CA",0,4,N/A,0
9/18/2017,Tahona C.,-1,5.0,"Checking in, definitely about to do my application the place looks beautiful online!!!","Charlotte, NC",0,2,N/A,0
9/10/2017,Hyejin S.,-1,5.0,no thank!!!!!!!!,"Los Angeles, CA",7,1,1,0
4/17/2017,Alisher A.,-1,5.0,This is absolutely beautiful building with all amenities that you need. The rooftop is one of a kind that you can find in Los Angeles. Staff is very nice and are always helping you with any questions. I also want to say big thanks to Timothy who was helping me with the whole process of moving in to this building. Thank you!,"Mid-City West, Los Angeles, CA",13,8,2,0
12/25/2016,Paul P.,-1,5.0,"Damm good apartment.

Clean, smells good, amenities is very good.

There is smart thermo control, cell phone openable gate.

Coffee is amazing also.
Pool is little shallow but it is ok.

Very nice view at roof top.

Price is higher than others, such as the Vermont.

However, i'm sure that it is worth it.

Managements are very nice and kind as well.","Los Angeles, CA",0,2,N/A,0
6/23/2016,Kaylee T.,-1,5.0,"The staff at 3033 Wilshire are amazing.  Since the actual building is under construction, I had to visit the temp leasing office in the building next door.  It is unfortunate that the building is no where near compared to the actual office.  As you step in, it is just completely a different atmosphere.  You feel like a true VIP.  The entire staff stood up and greeted me.  You don't get that anywhere in Koreatown.  Jennifer, Sean, and Christine gave me all the information needed for me to understand their perks.  Best thing that stood out to me is their rooftop pool with a 360 view of the city.  AMAZING!!!!  I'll definitely be leasing from them once I'm out of my lease.  CAN'T WAIT TO LIVE IN LUXURY.","Los Angeles, CA",0,1,N/A,0
8/5/2021,Amy T.,-1,1.0,"As a potential new move in to the Los Angeles area, you'd think the leasing office would be very welcoming and open to answering questions. This was not the case; the lady who answered my call had a disgusting attitude and was unwilling to offer any insight nor willingness to answer any of my questions. Instead she was basically in a hurry to hang up after I voiced to her that I've been trying to contact this leasing office for over 3 weeks. And when I kept asking my questions to clarify what she meant, all she did was repeat the same thing over like a broken record. Keep in mind, I've reached out through the website message board, email, text and phone calls multiple times. This behavior makes me question if this is how they treat potential new tenants, how do they treat their existing tenants. Save your time, money and efforts; if they not willing to help you before even applying, what makes you think they'd actually help you when you live there.","SoMa, San Francisco, CA",0,1,N/A,0
5/28/2021,Sundaravadivelan B.,-1,5.0,It was a pleasant stay at 3700 Sepulveda in past 6 years. My kids like the play area very much and it has all facility inside the Appartment. My family enjoyed very much. All staffs was very nice and friendly.,"Monterey, CA",0,1,N/A,0
3/3/2021,Michael B.,-1,5.0,"3700 Sepulveda is a Great Place to live they have many extras like there gym outside patios and BBQ in case you have a large amount of people Basketball and Tennis Courts. They have WIFI and nice office area in case your need it. (Good washers and dryers Great parking area underground  
The managers are the Best and very friendly and so helpful moving in and while your living there. They also have a excellent maintenance crew and they fix what may need to be fixed Right away. They have great security also and security guard is there in the evening all the way in the morning hours and they are also friendly This place is a very secured apartment I have live in many many apartments in Los Angeles and on the westside and I this has been my best I wish I found them earlier than when I did. Very close to major FWY 405 and 10 and many many great restaurants.  If you want a great place and very nice apartment on the westside of LA here the place Go move to 3700 Sepulveda (I wish I didn't have to move
Thank you
Michael B","Los Angeles, CA",0,1,N/A,0
