date,username,photos_for_review,rating,text_review,user_location,user_friends_count,user_reviews_count,user_total_image_posted,is_real_review
2/10/2021,Marie S.,-1,1.0,Lakewood is the new ghetto by the beach! Tenants banging all hours of the night management puts a letter on everyone door. Cars are being broken into and tenants are being harassed. Management does nothing and the unfriendly staff in the leasing office does nothing to help the situation. Do not move here if you can find something better! Good news Lakewood accepts Section 8 now and you see druggies hanging in the hallways and garage all day long.,"San Francisco, CA",0,1,N/A,0
12/12/2020,Richard C.,-1,1.0,"This place is a joke!  I was grateful to live here less than a year!  Very , Very noisy if it's not your neighbors keeping you up it, it's the garbage collectors.  O yeah and let's not forget you have San Francisco police department shooting range across the street firing their guns all day and night!  Not safe while living there was woken up by a guy busting a guy breaking into his car, having a altercation with him and then chasing him.  Management is rude and unprofessional .  When moving out shampooed my carpet twice and they still charged me $100.00 and when I questioned it they were rude about it and still charged me.  I'm just glad to be out of there and don't want to think of this nightmare anymore.  I just wanted to warn people so they don't go through what I did.  Don't do it!","San Francisco, CA",0,1,N/A,0
10/27/2020,Ilona B.,-1,1.0,Mold mold mold!!!! Run from here!,"Concord, CA",0,2,N/A,0
11/1/2015,Mark A.,-1,1.0,"This place is total crap hole. The halls wreak of mildew, the carpet needed to be replaced like 15 years ago, there is often garbage in the garage which is always fun when you walk out the door and are greeted by a hissing raccoon which the management also denies/ignores as a problem. If you ever have anything delivered here you have a 50/50 of either getting it or having it stolen. The layout of the apartments is very odd, you can literally walk down a hall and the apartments are label something like 405, 406, 410, 408, 415, etc...it makes no sense. Also, there's a $22 million project across the street to clean up 80 years' worth of shotgun pellets and busted clay pigeons that litter the lakeside skeet- and trap-shooting range. I look forward to my cancer diagnosis in 20 years. You're better off finding something in the Sunset or Daly City.","San Francisco, CA",0,12,N/A,0
9/13/2012,Julia M.,-1,1.0,"I had such high expectations when I moved in. The staff was incredibly nice when I was signing my lease. Then came day two. They switched on a dime. I feel so betrayed. It has been a a month. I have had a horrible altercation in the office with the manager Haley Gonzabos. She needs to take a management seminar and learn how to catch some flies with honey. The employees don't even look up when you walk in. They only talk to ""prospective"" tenants, not the existing tenants. I am out of here in 11 months. I feel like I am in prison, counting down the days.","San Francisco, CA",0,4,N/A,0
9/13/2012,Lynn M.,-1,1.0,"I am so mad right now. I took time off from work to go pick up my package on my lunch break. The packages are delivered to the management office. They only let you  pick them up between 8-9am and 5-6pm, that's it, no exceptions. I work. 2 jobs. 7 days a week. Yes, I work very hard. Times are tough. I walk in to get my package after they left a message on my phone to come pick it up. They refuse. The manager is there, Haley. I explain to her the situation, she says, ""If I break the rules for you, I have to break the rules for everyone"". I have contacted the San Francisco rent board and they are very interested in what is going on. The office staff is just so confrontational every time I walk in. This place is pathetic!!!","San Francisco, CA",0,3,N/A,0
9/12/2012,Aiko F.,-1,1.0,"I feel like i was conned by Haley (the manager) to move in. They were sooooo nice to me when I was moving in, now they treat me and everyone I know like the enemy. This is the unfriendliest group of employees I have ever met.  It is so sad, i love this place. It is beautiful here. Like a suburb in the city, but the staff ruins my day every time I see them. I wish I had talked to the residents before I moved in. I have been here 3 months and am looking to break my lease. I hope people read this board.","San Francisco, CA",0,3,N/A,0
11/3/2008,Nikki F.,-1,1.0,"The residents are rude. Their was often a baby crying and someone shouted ""Shut your F*cking kid up!"" People don't hold the elevators for you, so rude. In addition, my car was just stolen from my own parking space in the apartment parking garage. Poor security if you ask me.

The snack vending machine has been broken for more than a month now and it ate my roommate's money. The coke is always sold out in the vending machine on my floor, so I always have to walk to the rec center to get a coke.","San Francisco, CA",1,1,N/A,0
7/20/2014,K H.,-1,2.0,"First, the people in the office are friendly.
The location is not the best. It sits in a gully of cold and fog. You need a vehicle for sure. The noise level is bad. All day & night you hear the constant guns going off from the police range. They shoot well past 11pm at times. The highway with constant cars & trucks that you need to keep the windows closed to hear the tv.
The apartment is always cold like an air conditioner was on super cold. The cost to use their baseboard heat is super expensive - over a $380 electric bill.  The dampness in the apartment is very bad as well. Water drops from the ceiling that you need to run a large dehumidifier running all the time. Your towels will always be damp no matter what. Your clothes and leather jackets will get white mildew spots on them.
Having to share a water meter with other apartments is nuts.
There are quite a few renters who  have no regard for others. They yell, scream & have parties well past 2am.
The garage has large raccoons that are in the garbage bin and during the day too. This makes it dangerous walking to your car not knowing if a rabid raccoon will attack you, or you can het bit while throwing trash away.
The maintenance people at times do not fix the problems.
The cost to rent here is not worth it.","San Francisco, CA",0,2,2,0
8/16/2010,Ale S.,-1,2.0,"We moved here when I was pregnant, so we thought it would be a nice place to raise a family, but we were so wrong. It's nothing but the pool that's suitable for a kid. THe weather is always horrible (crying for sun and warmth) even as compared to dtown SF. Hate the carpets, no playground within a walking distance (the one that belongs to the company is designed for some 10-12 years-old kids, always empty, dirty and dark). You can't avoid the shooting sounds coming from across the street. And yes a CAR is a must-have.","San Francisco, CA",0,8,N/A,0
