date,username,photos_for_review,rating,text_review,user_location,user_friends_count,user_reviews_count,user_total_image_posted,is_real_review
9/10/2018,B C.,-1,1.0,These people are thieves and con artists.  Do not give them any information because they will steal from you.  Please look elsewhere because you will eventually regret even considering this place.  The staff is atrocious and highly trained in harassment.  DO NOT LET THEM TRICK YOU INTO FILLING OUT AN APPLICATION.  They believe it is the same thing as signing a lease.,"Franklin Lakes, NJ",0,28,N/A,0
"4/5/2017
Updated review",Brian L.,-1,1.0,"Just classic. I came back to yelp to see if there was a response to my review. Of course in classic smoke and mirrors style these guys took down my poor review which reads below. That is the biggest problem with these guys. They are not transparent at all and they only want to let you know about the positives and ignore the negatives. Its quite appalling that they took the review down but not surprising given their MO. Yelp is not supposed to be a cherry picking of only good reviews for the benefit of the reviewed. Its supposed to be an open forum where people provide feedback based on actual experience. I will re-post my review and hopefully building management will not take it down this time.

See original review below.

The building itself is ok. Its a little old at this point. The staff doormen and maintenance are really good guys. Management is just ok. They dont work with you at all regarding your renewal. They actually penalize existing tenants and give newer tenants better prices. It makes zero sense but they take advantage of the fact that you are a loyal customer and dont necessarily want to deal with moving. Its not surprising that vacancies are as high as they have been since the financial crisis. There is so much more supply in the area and in the city in general and consumers can see that this  building, as from its location, is just mediocre at this point.

The Biggest issues are the construction that has been going on for a long time and will continue for at least 2 more years according to the construction site manager. The windows are ok but not sufficient to block out the noise of Jackhammers and drills that start at 7am. Also, because the construction is causing lane closures, there is always traffic outside on Houston, Bowery and Second Avenue. This causes ambulances to sit there for long periods of time with their sirens on. Sirens are always there regardless of the construction because Houston is a main artery to get across town but the construction just adds fuel to the fire. Its the most consistently loud apartment building I have ever been in hands down. It's unfortunate that its mine.

Quite frankly the building is unbearable and I would never choose to live here again.","Manhattan, New York, NY",0,1,N/A,0
4/29/2016,Aidan S.,-1,5.0,"I have been living here for the past 18 months. Great location, new building and friendly staff. Especially Jobi, George and Chris stand out. One of the best things about this building is the fact that it is dog friendly. My dog loves Jobi and looks forward to getting his treats everyday. Overall, this is welcoming place at an amazing location.","Manhattan, NY",0,2,N/A,0
4/23/2016,Rachel A.,-1,5.0,"We just moved out of Bowery Place and we absolutely will miss it. The front desk team at 22 is incredible (Jerry, Andy and Jesus). They are an integral part of why we loved calling the building home for two years. Our apartment was delivered to us in great condition and the maintenance team  is incredibly helpful. Best roof deck in the EV. One of the best locations in Lower Manhattan.","Manhattan, NY",0,2,N/A,0
4/12/2016,Fenil G.,-1,5.0,"I have lived the building for six years and it's been a pleasure dealing with the staff and doormen, guys like Jobi, George and Omar. They are the best doormen in the city!!

The location is great, although a bit loud on certain lines due to the location. The apartments are well done.","Manhattan, NY",0,3,N/A,0
4/12/2016,Manon R.,-1,5.0,"My husband and I have been living at Avalon Bowery for more than 7 years and we couldn't be happier with the staff. The doormen are the nicest I've ever met and happy to engage with everyone in the building. They love our dogs and always spoil them with treats. Maintenance is always accommodating and gets things done on time. Rick and Jeremy always go out of their way to help out in some sort of way, whether it's getting the door, or asking how things are going -- we feel very lucky to have such a great team of people in our building.","Manhattan, NY",0,2,N/A,0
4/11/2016,Chase L.,-1,5.0,"I have lived in the building since July and it has been the most amazing experience. It is extremely well-run, any service request gets completed immediately. The entire staff is amazing and so accommodating, Jobi and George put a smile on everyones face as soon as they walk through the lobby. They both make me feel so at home and comfortable asking for anything. Everything about the building is great, and nothing can beat this location!","Manhattan, NY",0,1,N/A,0
4/10/2016,Hesham A.,-1,5.0,"Great building but Jerry, Andy and Jesus are the reason I've lived at 22 East 1st since 11/1/2007!","Manhattan, NY",0,2,N/A,0
4/10/2016,Mike J.,-1,5.0,Jobi is the best!  I've been here nearly ten years and cannot imagine the building without him. #bestdoormanever,"New Milford, CT",0,3,N/A,0
4/9/2016,Mike L.,-1,5.0,"Living here is great. While the prices are high,the apartments are beautiful, including great kitchens and amenities. But its the service that makes this place worth it. Special thanks to all the rock-star staff (Jerry, Jesus, Andy, and more) who always great with a smile and make this more than just an apartment, but a real community.","Manhattan, NY",0,2,N/A,0
4/9/2016,Kate L.,-1,5.0,I've gotten spoiled living in Avalon Bowery II. It's so convenient and great to know that the staff are here to take care of everything for the building. It's a great place and we've been pleased since moving in 8 years ago. Special thanks to all the concierge staff like Jerry and Andy for their help over the years as they really go above and beyond with Jerry especially being helpful and knowledgeable.,"Manhattan, NY",0,1,N/A,0
4/9/2016,Mary S.,-1,5.0,Have been living in Avalon Bowery Place II since the building opened. It's a perfect location and well run. Management recently updated the common areas and the staff do a great job of keeping everything clean and well maintained. The concierge staff (especially Jerry) are always quick to offer a smile and help with anything. We've really enjoyed living here.,"New York, NY",1,7,N/A,0
4/9/2016,David F.,-1,5.0,"Been living at 22 east 1st street for a long time and it's a terrific building. Very well run overall and the staff is extremely helpful and considerate. Jerry at the concierge desk is always there to greet us with a smile, help us with whatever we need and creates a great atmosphere for residents.","Manhattan, NY",0,1,N/A,0
4/9/2016,Greg M.,-1,5.0,"Great location, building, and management.  You really can't ask for much more.  Highly recommended.  Shout out to jerry and the rest of the tireless staff.","Manhattan, NY",275,1,N/A,0
4/8/2016,A T.,-1,5.0,"Best building in NOHO! The staff is incredible and have help make the building my home after moving from LA four years ago. Jobi, George, Chris and Omar as well as all maintenance staff have been there since the day I moved in and go above and beyond to make sure all needs are met, even our dog. Jobi greets all the dogs with treats and rubs and George makes sure you leave with a smile!","New York, NY",159,2,N/A,0
4/7/2016,Gideon L.,-1,5.0,"Great building with very good amenities (roof deck, gym, common area) and excellent staff.  Always know I can count on Jerry and the others to take care of any questions or issues promptly and with a great attitude, which makes it a very easy place to live.  Fully recommend.","New York, NY",0,2,N/A,0
4/5/2016,Anna T.,-1,5.0,"One of the best things about Avalon Bowery 11 is the building staff; George, Jobi, Chris, Jeremy, Omar and everyone on the management, maintenance and handymen teams. Concierge always makes you feel welcome and like part of the community (everyone from dogs to babies to moms love them!) and maintenance requests are an easy and smooth process. The location is close to unbeatable in the sense of being near awesome restaurants, great shopping and various subway lines. Moreover, the building has a gym, a lounge and a rooftop and there is also possibility for access to extra storage space (the latter being something rare and treasured in NYC). We've lived here for 5+ years and are overall very happy residents.","Manhattan, NY",0,4,N/A,0
4/3/2016,Debra M.,-1,5.0,"All the staff in the building are amazing.  We have lived in a number of different neighborhoods, all with 24-hour doormen buildings.  The friendliness and service of the staff in this building sets the building apart from other places.  Jerry, in particular, should be commended for going above and beyond and making us feel at home.","Manhattan, NY",0,1,N/A,0
4/3/2016,Jill G.,-1,5.0,"Jobi, George, Chris, and Omar are the best doormen in NYC. They are like family.","Manhattan, NY",0,1,N/A,0
4/3/2016,Theodora P.,-1,5.0,"Best building!! Super well-organised and apartments are brilliant. Must also mention the doormen, who are all great, especially George and Jobi! Highly recommend this building.","Manhattan, NY",0,1,N/A,0
4/2/2016,Danny T.,-1,5.0,"I love living at Avalon Bowery Place. Not only is the location one of the best in the East Village, but everything about this building is great. From the amenities, location and of course service. Repairs are completed in a timely manner, and the building is always clean! The best part of living at Avalon is the concierge desk. I don't know what I would do without Jobi and George, they are at attention 100% of the time and always make my family feel welcome and taken care of.","Alphabet City, Manhattan, NY",0,1,N/A,0
4/2/2016,mandi m.,-1,5.0,"Love this building - all the amenities you could ask for, and amazing staff!  Everyone is prompt, polite, and helpful... We love our doormen, especially Jerry :)","New York, NY",0,1,N/A,0
4/2/2016,Ilana W.,-1,5.0,"Avalon is the best! The best neighborhood, good management, and great staff like Jobi, George, and Omar make it a great place to live.","New York, NY",0,3,N/A,0
4/2/2016,Tom M.,-1,5.0,"Great life here at Avalon Bowery II. With concierges Jerry, Juan, Andy, Jesus and Elis looking out for you, it doesn't get any better. The building is only 6 years and has soundproof windows and solid walls, so living here is very peaceful!","Tampa, FL",0,4,N/A,0
4/1/2016,Jen R.,-1,5.0,"The doormen make the building - Jobi, George, Chris and Omar are all great. They're the reason we've stayed so many years.","Manhattan, NY",0,1,N/A,0
3/30/2016,Aaron G.,-1,5.0,Amazing building and service. Jobi is a tremendous doorman. Always helping out when needed. Love this place!!,"Manhattan, NY",0,1,1,0
3/30/2016,Brett F.,-1,5.0,Jobi and George are exceptional and make me and my family feel welcome and at home as soon as we set foot in the building. We couldn't hope for more professional or friendly staff.,"New York, NY",1,1,N/A,0
"2/18/2021
Updated review",Matt P.,-1,1.0,"Absolutely awful place to live. Avoid this building like the plague. Horrible amenities, inept service workers, and absolutely god-awful, careless, disinterested management. Where to even begin... the light in my kitchen was flickering for months before they fixed it. The windows haven't been cleaned for years. The idiot in the package room who can't count how many packages you have in the system will ironically count every ""extra"" guest you might have on the roof. There is literally nothing redeeming about this building or there awful management company, UDR. Avoid 21 Chelsea like the British Covid-19 strain.","New York, NY",0,3,N/A,0
